99408020213,PURBO CHAR BONGSHI PRIMARY SCHOOL,0,CHITTAGONG,LUXMIPUR,RAYPUR
99408020214,MODHA PURBO CHAR BONGSHI PRIMARY SCHOOL,0,CHITTAGONG,LUXMIPUR,RAYPUR
99408020501,new school 53,0,,,
99409011803,new school 54,0,,,
99409011909,Char Aminul Hoq GPS,99,CHITTAGONG,NOAKHALI,SUBARNACHAR
99409012005,Mohiuddin an Agro GPS,0,CHITTAGONG,NOAKHALI,SUBARNACHAR
99409989022,new school 57,0,,,
91050041402,new school 58,0,,,
91307041617,DOAI BARI MODDHU PARA GPS,91,DHAKA,GAZIPUR,SREEPUR
99308060101,DULAL PUR ROKEYA SMRITI GIRLS HIGH SCHOOL,99,DHAKA,NARSINGDI,SHIBPUR
